channel,impressions,clicks,ad_platform,apps_flyer,date,spends,cpi,country
Snapchat,0,0,0.0,0,2023-07-06,0.0,1,UAE
Snapchat,0,0,0.0,0,2023-07-06,0.0,2,KSA
Snapchat,0,0,0.0,0,2023-07-06,0.0,3,UAE
Snapchat,0,0,0.0,0,2023-07-06,0.0,4,KSA
Snapchat,0,0,0.0,0,2023-07-07,0.0,5,UAE
Snapchat,0,0,0.0,0,2023-07-07,0.0,6,KSA
Snapchat,0,0,0.0,0,2023-07-07,0.0,7,UAE
Snapchat,0,0,0.0,0,2023-07-07,0.0,8,KSA
Snapchat,0,0,0.0,0,2023-07-08,0.0,9,UAE
Snapchat,0,0,0.0,0,2023-07-08,0.0,10,KSA
Snapchat,0,0,0.0,0,2023-07-08,0.0,11,UAE
Snapchat,0,0,0.0,0,2023-07-08,0.0,12,KSA
Snapchat,0,0,0.0,0,2023-07-09,0.0,13,UAE
Snapchat,0,0,0.0,0,2023-07-09,0.0,14,KSA
Snapchat,0,0,0.0,0,2023-07-09,0.0,15,UAE
Snapchat,0,0,0.0,0,2023-07-09,0.0,16,KSA
Apple Search,18,2,1.0,0,2023-07-10,1.19,17,KSA
Snapchat,0,0,0.0,0,2023-07-10,0.0,18,UAE
Snapchat,0,0,0.0,0,2023-07-10,0.0,19,KSA
Snapchat,0,0,0.0,0,2023-07-10,0.0,20,UAE
Snapchat,0,0,0.0,0,2023-07-10,0.0,21,KSA
Google UAC,124141,2610,190.0,0,2023-07-10,368.2,22,KSA
Google UAC,40755,1288,184.0,0,2023-07-10,240.12,23,UAE
TikTok,7329,784,0.0,1,2023-07-10,35.35,24,KSA
TikTok,4759,584,0.0,2,2023-07-10,27.01,25,UAE
TikTok,38995,9964,0.0,75,2023-07-10,80.3,26,KSA
TikTok,36446,4348,0.0,28,2023-07-10,63.57,27,UAE
Organic,0,0,0.0,22,2023-07-10,0.0,28,UAE
Organic,0,0,0.0,35,2023-07-10,0.0,29,Others
Organic,0,0,0.0,141,2023-07-10,0.0,30,UAE
Organic,0,0,0.0,84,2023-07-10,0.0,31,KSA
Organic,0,0,0.0,9,2023-07-10,0.0,32,Others
Organic,0,0,0.0,85,2023-07-10,0.0,33,KSA
Programmatic,,1,0.0,0,2023-07-10,0.0,34,Others
Meta,0,0,0.0,1,2023-07-10,0.0,35,Others
Meta,0,0,0.0,1,2023-07-10,0.0,36,KSA
TikTok,0,0,0.0,0,2023-07-10,0.0,37,Others
TikTok,0,0,0.0,0,2023-07-10,0.0,38,Others
TikTok,0,0,0.0,0,2023-07-10,0.0,39,Others
TikTok,0,0,0.0,1,2023-07-10,0.0,40,Others
TikTok,0,0,0.0,0,2023-07-10,0.0,41,KSA
TikTok,0,0,0.0,0,2023-07-10,0.0,42,KSA
TikTok,0,0,0.0,0,2023-07-10,0.0,43,UAE
TikTok,0,0,0.0,0,2023-07-10,0.0,44,UAE
Apple Search,79,4,3.0,0,2023-07-11,2.59,45,KSA
Snapchat,12156,34,0.0,0,2023-07-11,28.0,46,UAE
Snapchat,28852,72,0.0,0,2023-07-11,42.0,47,KSA
Snapchat,27693,153,6.0,4,2023-07-11,64.0,48,UAE
Snapchat,58190,271,8.0,8,2023-07-11,98.0,49,KSA
Google UAC,52917,2374,333.0,0,2023-07-11,348.93000000000000,50,KSA
Google UAC,18235,776,118.0,0,2023-07-11,161.6,51,UAE
Google UAC,18897,224,6.0,0,2023-07-11,65.75,52,KSA
Google UAC,7590,104,0.0,0,2023-07-11,39.760000000000000,53,UAE
TikTok,9383,1022,0.0,6,2023-07-11,50.0,54,KSA
TikTok,7033,1039,0.0,1,2023-07-11,50.0,55,UAE
TikTok,37864,12661,0.0,151,2023-07-11,100.0,56,KSA
TikTok,19636,4297,0.0,67,2023-07-11,64.99,57,UAE
Organic,0,0,0.0,498,2023-07-11,0.0,58,KSA
Organic,0,0,0.0,80,2023-07-11,0.0,59,Others
Organic,0,0,0.0,8,2023-07-11,0.0,60,Others
Organic,0,0,0.0,120,2023-07-11,0.0,61,KSA
Organic,0,0,0.0,208,2023-07-11,0.0,62,UAE
Organic,0,0,0.0,30,2023-07-11,0.0,63,UAE
Programmatic,2,1,0.0,0,2023-07-11,0.0,64,Others
Meta,0,0,0.0,1,2023-07-11,0.0,65,UAE
Programmatic,,1,0.0,0,2023-07-11,0.0,66,KSA
Programmatic,,11,0.0,0,2023-07-11,0.0,67,Others
Apple Search,0,0,0.0,2,2023-07-11,0.0,68,KSA
TikTok,0,0,0.0,3,2023-07-11,0.0,69,Others
TikTok,0,0,0.0,1,2023-07-11,0.0,70,Others
TikTok,0,0,0.0,0,2023-07-11,0.0,71,KSA
TikTok,0,0,0.0,0,2023-07-11,0.0,72,Others
TikTok,0,0,0.0,0,2023-07-11,0.0,73,Others
TikTok,0,0,0.0,0,2023-07-11,0.0,74,KSA
TikTok,0,0,0.0,0,2023-07-11,0.0,75,UAE
Apple Search,71,5,4.0,0,2023-07-12,2.34,76,KSA
Snapchat,22187,68,0.0,0,2023-07-12,40.0,77,UAE
Snapchat,36628,116,1.0,0,2023-07-12,59.99,78,KSA
Snapchat,40997,211,4.0,4,2023-07-12,92.0,79,UAE
Snapchat,85281,392,14.0,9,2023-07-12,139.96,80,KSA
Google UAC,19252,1167,197.0,0,2023-07-12,139.13,81,KSA
Google UAC,12526,748,144.0,0,2023-07-12,139.19,82,UAE
Google UAC,22817,427,3.0,0,2023-07-12,87.09,83,KSA
Google UAC,19727,143,1.0,0,2023-07-12,57.32,84,UAE
TikTok,25120,525,0.0,5,2023-07-12,60.0,85,KSA
TikTok,14518,392,0.0,1,2023-07-12,43.04,86,UAE
TikTok,46613,16060,0.0,145,2023-07-12,139.16,87,KSA
TikTok,24624,5677,0.0,36,2023-07-12,74.43,88,UAE
Organic,0,0,0.0,10,2023-07-12,0.0,89,Others
Organic,0,0,0.0,95,2023-07-12,0.0,90,Others
Organic,0,0,0.0,32,2023-07-12,0.0,91,UAE
Organic,0,0,0.0,567,2023-07-12,0.0,92,KSA
Organic,0,0,0.0,277,2023-07-12,0.0,93,UAE
Organic,0,0,0.0,117,2023-07-12,0.0,94,KSA
Meta,0,0,0.0,1,2023-07-12,0.0,95,Others
Meta,20192,186,7.0,5,2023-07-12,9.41,96,KSA
Meta,8411,68,4.0,3,2023-07-12,9.94,97,KSA
Meta,0,0,0.0,1,2023-07-12,0.0,98,Others
Meta,3405,25,4.0,4,2023-07-12,6.62,99,UAE
Meta,2173,23,3.0,2,2023-07-12,7.8900000000000000,100,UAE
Meta,4077,20,0.0,1,2023-07-12,9.1,101,KSA
Programmatic,,3637,0.0,24,2023-07-12,0.0,102,Others
Programmatic,,10096,0.0,21,2023-07-12,0.0,103,Others
Programmatic,,1,0.0,0,2023-07-12,0.0,104,UAE
Apple Search,0,0,0.0,1,2023-07-12,0.0,105,KSA
TikTok,0,0,0.0,0,2023-07-12,0.0,106,Others
TikTok,0,0,0.0,0,2023-07-12,0.0,107,UAE
TikTok,0,0,0.0,0,2023-07-12,0.0,108,Others
TikTok,0,0,0.0,0,2023-07-12,0.0,109,Others
TikTok,0,0,0.0,2,2023-07-12,0.0,110,Others
TikTok,0,0,0.0,0,2023-07-12,0.0,111,KSA
TikTok,0,0,0.0,0,2023-07-12,0.0,112,KSA
Meta,1867,9,0.0,0,2023-07-12,7.04,113,UAE
Apple Search,138,3,2.0,0,2023-07-13,1.0,114,KSA
Apple Search,157,4,2.0,0,2023-07-13,5.89,115,UAE
Snapchat,31282,108,0.0,0,2023-07-13,40.0,116,UAE
Snapchat,28779,109,1.0,0,2023-07-13,60.0,117,KSA
Snapchat,35090,244,3.0,3,2023-07-13,92.0,118,UAE
